No,Label,Username,Tweet
350,campaign,dinar_hesti,"Aktivitas online semakin padat nih, semuanya serba online, untung pakai IndiHome hati jadi tenang, semua pasti beres! kerja onlen lancar, bisnis onlen pun laris manis 🥰 #internetnyaindonesia #aktivitastanpabatas  https://t.co/ctOVUQi1Sk"
351,none,karomiys,💚 Ini indihome.            Kalau ini your home.  https://t.co/RgRdTxNx8d
352,inquiry,ehsiajis,@Irvan_Heidar @IndiHome calon pelanggan min
353,campaign,dinar_hesti,"Kalau lihat nasi padang rasanya menu makan malam pingin pakai nasi padang deh😂, biar lebih nikmat makannya sambil nonton mukbang di youtube pake IndiHome dong 😋 #internetnyaindonesia #aktivitastanpabatas  https://t.co/1CIEQ9meMU"
354,remark,ehsiajis,"@Irvan_Heidar Sudalah kawan, Putuskan biznet mu Lalu join indihome bersamaku"
355,remark,faceboukk,jangan lupa nonton bola ya di vidio melalui IndiHome guyss
356,negative remark,lovuvbs,"test, indihome ngajak gelut"
357,own tweet,indihomecare,"@ikhsanmiracle Hallo Kak Ikhsan. Jako informasikan biaya Pasang baru IndiHome adalah ""Lima ratus ribu rupiah"" belum termasuk PPN 10% dan dibayarkan diawal saat layanan IndiHome Kakak sudah aktif.  Saat ini...  https://t.co/tQTAncpJ30"
358,none,qoungeun,💚 Ini indihome.            Kalau ini your home.  https://t.co/3oHY0M15Tu
359,none,yejiic,💚 Ini indihome.            Kalau ini your home.  https://t.co/qltKADiXQ4
360,remark,ratnadwicahyan5,@AmmarGill ga salah pilih deh pake indihome
361,campaign,wahyudiw16,katanya mau terjadi perang dunia ke 3 tapi apa huftt mending youtuban pake jaringan internet super cepat dari indihome 😆 #InternetnyaIndonesia #AktivitasTanpaBatas  https://t.co/ThVX2dfusI
362,remark,nashitttt,@okkyandrianlola @IndiHome pake aplikasi indihome aja masbroo
363,remark,kakpram,"@idextratime @UtdDistrict bubar aja udah, gedungnya sewain ke Indihome."
364,none,jtihoon,💚 Ini indihome.            Kalau ini your home.  https://t.co/Ko7O6j22EY
365,remark,uwistory21,"Sore-sore gini emang paling enak makan pizza bareng temen2 dikantor, apalagi mesennya sekarang gampang banget yang penting ada koneksi indihome terus udah deh. Mana lancar banget dipake internetan👏🏻  https://t.co/Dum23MKKOQ"
366,direct complaint,gr4ndis,"@IndiHome mohon balas DM saya dong min, internet lagi masalah ini"
367,none,jvyoen,💚 Ini indihome.            Kalau ini your home.  https://t.co/H2UDuB1TUV
368,campaign,neyla2327,"Healing versi aku makan"" sepuasnya, buat nyari mkanan yg enak bisa jg di shopeefood pake internetnya IndiHome, gk ni aja uda seru bgt😁 #AktivitasTanpaBatas  https://t.co/N5SmMVyRtp"
369,direct complaint,laksanaazis,"@IndiHomeCare Halo indihome, kenapa ya sudah ada semingguan lebih internet sangat sangat lemot. Padahal kondisi tidak saat hujan. Mohonlah segera di perbaiki"
370,campaign,ahmadfirna,Selasa pagi ditemenin cuaca yang bersahabat paling cocok sambil dengerin musik pake IndiHome emang paling the best bikin goodmood😂 #internetnyaindonesia #aktivitastanpabatas  https://t.co/ts5JmbEg5O
371,none,selfolconvo,💚 Ini indihome.            Kalau ini your home.  https://t.co/SjnN6gCBXt
372,campaign,itarahayunings1,ngajar online sambil buka youtube kesukaan anti lemot dan super cepat dengan jaringan internet indihome 🤭 #InternetnyaIndonesia #AktivitasTanpaBatas  https://t.co/xpD1NhYXss
373,direct complaint,skysitorus,"@IndiHomeCare @IndiHome Dear indihome yang paling bagus jaringan ya sejagad raya. Saya sudah DM. Moho. Dibalas ya. Saya ngeluh empat jam yg lalu, kalian balas 4 jam setelahnya. Sangat cepat reapon kalian. Salut. Itu DM Saya tolong ditindaklanjuti. Terima kasih indihome yang baik Dan super cepat."
374,campaign,ahmadfirna,Selamat Hari selasa!  Semangat baru.. Langkah baru.. Rezeki baru.. IndiHome dukung aktivatas onlinemu 😁 #internetnyaindonesia #aktivitastanpabatas  https://t.co/5SdMvHClwS
375,none,raisagusna,@tintinnya @IndiHomeCare Berasa lagi liat laki gw @tegaralaga kalo ngobrol sm cs nya indihome.
376,campaign,sahrulahyar,Semua tugas lewatnya online Untung ada Indihome Online apapun teratasi #AktivitasTanpaBatas  #InternetnyaIndonesia  https://t.co/QnVdCSahDM
377,campaign,arrysofian1,nongkrong sama temen sambil youtube an streamer pake jaringan internet super cepat dari indihome😆 #InternetnyaIndonesia #AktivitasTanpaBatas  https://t.co/XMvh9STntT
378,remark,fazameonk,sejak agustus 2021 pake indihome dan blm ada masalah apapun sampe skrg 👀
379,indirect complaint,choocotae,indihome di rmh knp tiap jam segini wifinya gabisaaa :/
380,campaign,ayudwi212,kesekian kali nonton youtube lancar dan anti lelet dengan jaringan internet indihome 😁 #InternetnyaIndonesia #AktivitasTanpaBatas  https://t.co/D0RiJWapYE
381,indirect complaint,thumbflr,ga ngerti lg sm indihome ngelag mulu buset
382,own tweet,indihomecare,"@irsyadsupardi Halo, Kak Irsyad, Hamco informasikan saat ini registrasi pemasangan baru layanan IndiHome lebih mudah melalui aplikasi myIndiHome dan website  https://t.co/VfQIHH8C9t karena bisa melakukan pengecekkan...  https://t.co/EVnQ2yo1o6"
383,indirect complaint,metaxllica,indihome telkomsel kok lemot anjjj
384,own tweet,indihomecare,"@anakkhhalal Baik Sobat. Senang mendengar kabar baiknya. Selamat menikmati layanan IndiHome kembali. Jika ada yang ingin ditanyakan, jangan sungkan untuk hubungi kami kembali. Terima kasih. -Jako"
385,inquiry,doyzky1,@ArifZein @okkyandrianlola @IndiHome Nah itu dia. Kenapa harus pakai foto KTP+selfie? Syarat mutlak lhoo  https://t.co/tHNJvJyW1a
386,none,metaxllica,ini telkomsel sama indihome kerja sama apa gmn dah
387,negative remark,ipatnoren,ish indihome jelek
388,negative remark,akunorghalal,indihome cacad
389,remark,aasangkaraa,Seru banget nonton bola bareng indihome
390,negative remark,yahjangannakal,"Kenapa kalau gerimis dikit aja sinyal WiFi nya indihome ilang, why #IndiHome jelek banget"
391,none,agumpratama_,Cbn meng-indihome kan diri
392,remark,putralfaridzi,dengerin musik di youtube UseeTv indihome sebagai temanku di siang hari gini biar ga ngantuk pas kerja hehe  https://t.co/N3qySbVmYQ
393,remark,sunnybeeflower,@kafka_____ malah bersyukur pake indihome 😅
394,none,twlghtlvrbee,"berasa jadi anak Indihome gue, liat mereka, tapi masa sii, kok baru sekarang gue liat hal begituan ? Ah apa jangan jangan karna lgi dapet ya hum, au ah gue ngumpet di selimut ini😭"
395,inquiry,comrade0004,Indihome di apart sini bagus ga ya? Pengen tambah jd 2 ISP
396,negative remark,findamolida,indihome kenapa sih😭
397,campaign,royya1311,Rutinitas Selasa siang ini bikin es kopi sambil streaming youtube pake IndiHome #AktivitasTanpaBatas  https://t.co/dYvevKmmoG
398,none,incorrectfoe,When indihome crashes in middle of  meeting with bos wilayah   https://t.co/3mf9SiTiSJ
399,campaign,neyla2327,Rutinitas Selasa siang bersantai sambil streaming youtube pake jaringan IndiHome  #AktivitasTanpaBatas  https://t.co/s5uEBFHFve
400,own tweet,indihomecare,"@kopimilloo @IndiHome Hai, Kak Hush. Boang bantu cek jaringannya ya Kak. Yukk kirim dulu nomor internet, nomor hp, dan nomor hp alternatif via DM atau klik  https://t.co/GTuwLrpOsE biar kami bantu solusikan lebih lanjut. Terima kasih -Boang"
401,remark,ukitalli,"sambil nunggu adzan azhar nonton film korea dulu di disney hotstar indihome filmnya keren""  https://t.co/b1nQBqb2mj"
402,own tweet,indihomecare,"@ramaka04 Halo, Kak Rama.  Silfa informasikan registrasi pasang baru IndiHome bisa melalui aplikasi myIndiHome, website  https://t.co/VfQIHHpFbt atau melalui kami di sini ya. Terima kasih.  -Silfa"
403,own tweet,indihomecare,"@Skysitorus @IndiHome Hai, Sobat. Boang bantu cek jaringannya ya Kak. Yukk kirim dulu nomor internet, nomor hp, dan nomor hp alternatif via DM atau klik  https://t.co/GTuwLrpOsE biar kami bantu solusikan lebih lanjut. Terima kasih -Boang"
404,remark,sri_nofi_tri_p,::. Saya setuju internetan cepat pakai indihome  https://t.co/fzEWxtv8bX
405,negative remark,metapussy69,Indihome peler kerjaan numpuk  https://t.co/ji3YlwKREk
406,campaign,neyla2327,"Kalo Musim hujan gini rasanya kurang kalo ngga nyeduh kopi. Sruput kopi dikit ah sebelum kerja, biar ngantuk ilang, semangat jadi membara ditemenin IndiHome tentunya 😎 #AktivitasTanpaBatas  https://t.co/sgJu6s6xxP"
407,own tweet,indihomecare,"@fandidikan @IndiHome Halo, Kak Fandix. Boleh dong, Kak. Namun, sebelumnya silakan informasikan detail laporannya terlebih dahulu via DM atau klik link  https://t.co/yuUDRsBgiA agar kami bantu lebih lanjut. Terima kasih. -Boang"
408,inquiry,ramaka04,"@IndiHomeCare Kak, kalo mau registrasi IndiHome lewat mana? #MauNanyaDong"
409,campaign,neyla2327,"Masih dlm rangka aktivitas online dengan IndiHome, berburu diskon di shopee karena masih hari pelanggan nih 😁 #AktivitasTanpaBatas  https://t.co/Qmz6sbj1Bs"
410,own tweet,indihomecare,"@jichaeryx @IndiHome Hai, Kak Ki. Boang bantu cek jaringannya ya Kak. Yukk kirim dulu nomor internet, nomor hp, dan nomor hp alternatif via DM atau klik  https://t.co/GTuwLrpOsE biar kami bantu solusikan lebih lanjut. Terima kasih -Boang"
411,campaign,nayialu,"Mumpung masih hari pelanggan nih lagi banyak diskon dan gratis ongkir, mulai khilaf ini, apalagi koneksi internetnya IndiHome ngedukung bgt, gak ada putus""nya 😁 #AktivitasTanpaBatas  https://t.co/LOAWBF5zBZ"
412,own tweet,indihomecare,"@angelarissa_ @IndiHome Halo, Kak Angel. Apakah nomor internet dengan akhiran **20? untuk menstabilkan kembali jaringan internetnya, Boang bantu lakukan restart jaringan dari sistem. Hal ini akan menyebabkan koneksi IndiHomenya mati sejenak. Apakah Kakak berkenan? Ditunggu konfirmasi berikutnya. -Boang"
413,campaign,msamsululum,Bahasa Arab Bahasa Indonesia Kalau IndiHome Pilihan kita #AktivitasTanpaBatas  #InternetnyaIndonesia  https://t.co/4OUt2UkEnM
414,none,kipli_nich,"Halo sobat Indihome Sobat punya pertanyaan seputar Indihome, Coba bisikan ke mimin  https://t.co/cYDyQ4xTS2"
415,campaign,davidramdani10,"Kalo Musim hujan gini rasanya kurang kalo ngga nyeduh kopi. Sruput kopi dikit ah sebelum kerja, biar ngantuk ilang, semangat jadi membara ditemenin IndiHome tentunya 😎 #AktivitasTanpaBatas #IndiHome  https://t.co/6w74968la5"
416,none,kipli_nich,"Halo sobat Indihome Tipe tipe penonton Drakor kamu yang mana, nih  https://t.co/UVMTkJHyL4"
417,remark,uwistory21,Temenku jadi ketagihan streaming film di maxstream apalagi gratis dan tinggal login pake nomor hp dan tentunya pake koneksi dari indihome jadi bebas deh nonton sepuasnyaa👍🏻  https://t.co/VNoVyrgzkZ
418,none,kipli_nich,Halo sobat Indihome A Day in my life ala sobat  https://t.co/jxGXx9XLGR
419,own tweet,indihomecare,"@Galuhakhdandika @IndiHome Hai, Kak Galuh. Boang bantu cek jaringannya ya Kak. Yukk kirim dulu nomor internet, nomor hp, dan nomor hp alternatif via DM atau klik  https://t.co/GTuwLrpOsE biar kami bantu solusikan lebih lanjut. Terima kasih -Boang"
420,remark,gengtaros,best lah @IndiHome pokoknya  https://t.co/EEYK8a3JsW
421,remark,moohnen,jadi udah kek identik.. mo nonton bola ya di vidio by indihome
422,campaign,nayialu,"Sedih bgt pas kulit sikecil merah"" gini, trus q coba browsing pake internetnya IndiHome buat atasi masalah ini, dan ternyata gatal"" ini gak boleh kena air dulu unung segera tau jd blm terlanjur parah. #AktivitasTanpaBatas  https://t.co/7hJSld1him"
423,negative remark,kafka_____,Sejak pake indihome selalu ada alasan ga ikut zoom. Terima kasih indihome 😊
424,own tweet,indihomecare,"@riotstarter_nic @IndiHome @Telkomsel Hai, Kak Nicky. Boang bantu cek jaringannya ya Kak. Yukk kirim dulu nomor internet, nomor hp, dan nomor hp alternatif via DM atau klik  https://t.co/GTuwLrpOsE biar kami bantu solusikan lebih lanjut. Terima kasih -Boang"
425,indirect complaint,kaokoiphed,Akhir akhir ini Indihome lemuoootttt byaattt
426,indirect complaint,iamtheoaktree,Indihome nih anjeng bgt ya koneksi nya
427,campaign,nayialu,"Yg punya kek gini pasti tau kalo teko ini tahan lama juka dibuat nyeduh minuman dingin ato panas, udah kayak internetnya indihome aja yg tetep lancar meskipun cuaca panas ato hujan 😁 #AktivitasTanpaBatas  https://t.co/3l2SyTjQyj"
428,remark,tiko_pb,"@agussari Jam kerja sama saja, namun lebih productive jauh waktu WFH  Asalkan indihome gak ngambek 😩"
429,remark,ddallss_,"Udah deh kalau ketemu indihome, ngegame nya gak berenti,  lancar jayaaaaa  https://t.co/ESUnVaGQ6k"
430,campaign,nayialu,"Sisir ini buat meluruskan rambutku, tapi kalo Internetnya IndiHome itu buat melancarkan aktivitas onlineku ☺️ #AktivitasTanpaBatas  https://t.co/UZcowYSZ1m"
431,remark,kinosukina,"Yakinlah bahwa setiap perbuatan akan kembali kepada diri kita masing-masing. Untuk itu, fokuslah berpikir baik, berkata baik, berbuat baik dan berhati baik. Yakinlah bahwa IndiHome selalu mendukung aktivitas online. Untuk itu, memilih IndiHome adalah keputusan yang tepat  https://t.co/UTx9uYu8uF"
432,remark,timunrasatuna,"Wait, ketinggalan apa aja ni info Bangtan? Indihome Telkomsel baru bener_-"
433,none,etwile,"@spaceoddivy Iyaaa, sempet drop terus hectic lagi jadi ngilang timbul terus. KANGEN IVY JUGA 🥺🖤 anjai cepet banget, admin indihome kalah!! -,-"
434,campaign,brobay29,dirumah tetap bisa belajar tajwid anak di channel rodja pakai indihome memang mudah bgt.  #AktivitasTanpaBatas  #InternetnyaIndonesia  https://t.co/VTg3lD1aW3
435,campaign,edowahy99136570,#IndiHome #AktivitasTanpaBatas  https://t.co/rFZLG0gCg1
436,campaign,ryupr12,"@indihomeborneo @IndiHome Merry Riana, sosok perempuan yang memberikan motivasi luar biasa kepada generasi muda milineal Indonesia #AktivitasTanpaBatas #InternetnyaIndonesia #IndiHomeBorneo  Ikutan yuk : @LiiaMonday  @neo_rramadan"
437,campaign,nayialu,"Semalem dimar terasa panas padahal uda ada AC yernyata AC nya yg uda kotor paginya lgsg panggil service ac sekarang jasa service pun bisa dipesen via online, asalnya ada internet ajah semua bisa, pilihanku buat wifi dirumah ya tetep IndiHome #AktivitasTanpaBatas  https://t.co/mvvcZd0rab"
438,negative remark,dlaco,"males banget indihome ngechat nawarin upgrade speed mulu, tp pas lagi gangguan perbaikannya suka lama ^___^"
439,remark,davidramdani10,"Pagi hari ini cerah banget ya, cocok banget buat olahraga di rumah aja pake tutorial dari youtube dan internet IndiHome 🥰 #IndiHome  https://t.co/TCjumIm2pK"
440,remark,ddallss_,"Banyak browsing di youtube, jangan lupa pake indihome biar pengetahuannya makin luas haha  https://t.co/MMu9NzQlaI"
441,indirect complaint,liebelamour,ini indihome kenapa jelek banget
442,none,rielcasey,@secgron @IndiHome @TretanMuslim @IndiHome
443,indirect complaint,otirasnat,"@kring_pajak @jokowi @DitjenPajakRI @KemenkeuRI Ini djponline nya lemoooooooooodddddd nya ampunnnnn...... sedangkan youtube saya lancar jaya, restart modem, restart pc, broswer dari Edge, chrome, firefox, mode normal, mode icognito, sudah saran sudah saya coba. Provider: Indihome, Apa perlu ganti provider ?"
444,indirect complaint,yunhowhatimean,ini wifi indihome emang lagi gangguan kah?
445,negative remark,nfitik,Indihome kenapa dah
446,negative remark,qyxyz,indihome bkin emosiii. lg kuliah jd kek robot si ibu ngmgnya :((
447,remark,kinosukina,"Jadikan hati kita selalu damai agar kita bisa membahagiakan diri kita sendiri serta membahagiakan sesama. Jadikan IndiHome sebagai solusi jaringan internet, agar aktivitas online kita berjalan lancar  https://t.co/D44V6aLf6l"
448,remark,ddallss_,Tim indihome mana nih ? Aman ga boros kuotaaaa sinyal kenceng  https://t.co/6FWo8YTcz8
449,remark,ddallss_,"Urusan dunia lamcar tanpa kendala, urusan sosial media tanpa kendala percayakan pada indihome  https://t.co/h8WkVq3I0d"
450,inquiry,muhammadaldio,@okkyandrianlola @IndiHome iyaa emang gitu syaratnya sekarang gue jg gitu sih..
451,remark,ddallss_,"Terimakasih indihome, yang ga pernah lelah menemani pelanggannya, bangun tdur pun seger ada sholawat sholawat gini  https://t.co/KVq5uIWEgo"
452,negative remark,lgbtbaewoo,indihome aku lg kuliah njiks
453,negative remark,orchiedeous,@takkanbushian Kalau indihome 2 jam
454,remark,ddallss_,"Makanya percaya aja sama indihome, sinyal super kencang no lemod lemod  https://t.co/fGrlWsyN2z"
455,remark,ddallss_,Ga lengkap juga loh kalau dirumah ga pake indihome biar hari harinya makin yahud  https://t.co/NmZSk83qKp
456,negative remark,gyuracrybby,jangan main cr klo wifi kalian indihome wkwkw emosyiiii  https://t.co/U7hWh2vSPO
457,campaign,langitmusik,"Masih menempati Trending di platform Youtube, lagu terbaru Putri ""berbisik"" ini masuk di hati para pendengar ya!  Gimana menurut kamu sob? Komen di bawah yaa 😍  Dengerin lagunya Putri DA di Aplikasi buatan Indonesia Langit Musik dan IndiHome TV! Klik  https://t.co/QVou33sIui  https://t.co/6q9euJOOXC"
458,indirect complaint,seokjinsbabygrl,HADAH KNP GBS BUKA SHOPEE PKE INDIHOME
459,indirect complaint,euxnomia,indihome gangguan mulu
460,remark,wahyoe263,"Pecinta bola jangan sampe ketinggalan laga ke-2 UCL, catat tanggalnya ya🙌⚽, Saksikan pertandingannya di Vidio melalui IndiHome."
461,remark,ddallss_,Ada yang tau nama buah ini ? Lagi searchingan pake indihome eh muncul video ini  https://t.co/a1qKAg75cv
462,indirect complaint,yehetohorait,indihome kaga sat set sat set bgt deh😢 2x laporan awas aja belum ada penanganan mahhh
463,direct compliment,mayasofaaa,@IndiHomeCare IndiHome keren
464,own tweet,indihomecare,"@chostattoo Halo Kak Adinda, untuk layanan IndiHome TV-nya sedang dilakukan pengecekan dan interaksinya dilanjutkan via DM ya Kak. -Wepi"
465,remark,eyoobeib,ini yang bener IndiHome bulan ini cuma bayar 34 rebu!!? Jujur saja saya kaget
466,remark,ddallss_,"Lagi internetan pake indihome, muncul iklan boba, yaudah nikmati virtual dulu  https://t.co/r3XAoaUVVC"
467,direct compliment,tzuwonyo,@jnkcircle lebih parah dr indihome 💀
468,direct complaint,ungp__,"@IndiHomeCare permisi kak, lagi sedang ada gangguankah indihome? internet tidak dapat terhubung?"
469,incomplete,krapzze,@IndiHomeCare @IndiHome Sudah
470,remark,ddallss_,"Siapa ni yg make indihome, sinyal kenceng nya bikin nagih, nah btw ada yg blm tau sistem bayar nya prabayar dan pascabayar itu apa ? Yuk simak  https://t.co/01ah7eThO6"
471,inquiry,ekisays,"@IndiHome halo indihome, sy dpt notifikasi penambahan jadi 30mbps dengan tagihan cuma bertambah 5000/bulan. Ini benar ya?"
472,remark,chuupangdangdut,"ren astaga, aku tadinya sampe mau ngetag Indihome:)"
473,incomplete,yuniles32887750,@IndiHome @IndiHomeCare
474,own tweet,biznethome,"@ItuKutil @txtdarikintil @IndiHome Hai @txtdarikintil, boleh info ID pelanggan kamu ya agar dapat mimin bantu cek perihal kendalanya. Thanks^kcn"
475,inquiry,kino_50,"@IndiHomeCare Siang min, mau nanya ini saya mau bayar tagihan indihome cuma kok beda ya nilai di channel pembayaran dan billing yang diberikan telkom."
476,negative remark,w_i_d_h_i,"@tsaradiary Pemerintah bangun tol di mana2 utk mempermudah akses, TLKM-Indihome mempersulit akses tol langit/fixed broadband dgn pasang tarif tinggi.  Program pemerintah kok malah disabot BUMN sendiri. Maksudnya apa coba?  Ajib !   @jokowi @erickthohir @PlateJohnny @AryaSinulingga  https://t.co/PVu7hUmiYT"
477,indirect complaint,andikaokt,@tintinnya @klinikhukum @IndiHomeCare Temenku cs indihome semenjak covid menyerang jadi WFH. saat WFH dipasang indihone untuk menunjang WFH nya tsb. Dan itupun gangguan dong wifinya sampe2 temenku sedia kuota sendiri untuk menunjang pekerjaanya tsb. Gak habis fikir cs nya aja gangguan apalagi orang lain 🤣🤣🤣🤣🤣🤣
478,negative remark,yeniiii,"Di rumah pakai indihome tagihan biasanya kurleb 650-700an untuk wifi tv sama tlp, sebelumnya jaringan masih pakai kabel tembaga. Yang dimana mana padahal udah pakai kabel fiber optic."
479,inquiry,linuxternate,"Hi tweeps, mohon infonya. Paket gamer @IndiHome bedanya apa dengan paket lainnya. Bandwidth paket gamer 20mbps apakah sama dengan 20mbps dengan paket indihome lainnya?"
480,none,ddallss_,"Mau ke bento kopi tapi harus liat virtual dulu pake indihome, istilah nya cek ombak  https://t.co/3Sk3K15U5R"
481,own tweet,indihomecare,"@AwieTandiono @TelkomCare @OmbudsmanRI137 Halo, Kak Awie. Mohon maaf, agar kami cek lebih lanjut permintaannya, sebelumnya silakan informasikan nomor internet, atas nama, alamat pemasangan, jumlah tagihan terakhir (lunas), dan relasi dengan pemilik IndiHome via DM/ klik link  https://t.co/yuUDRsBgiA. Terima kasih. -Boang"
482,indirect complaint,nadyadalimunthe,"Bismillah  pak @erickthohir  ,tolong ini provider Telkom milik tanahair,Sangat sangat lelet,kabel fiber bisa seratus x dimakan tikus,100x dtg ke komplek,aneh.tlg usut pak.kita bayar telat Didenda,tp sdh 1bulan ini inet Putus bolakbalik.Shame #indihome"
483,own tweet,indihomecare,"@faemz26  Alhamdulillah, Kak Fairuz.  Hamco ikut senang nih kalau kendalanya Kakak sudah teratasi ya, Nantinya kalau ada pertanyaan lagi seputar IndiHome, jangan sungkan untuk menyampaikan kembali ya,...  https://t.co/O1JtgxrI5a"
484,own tweet,indihomecare,"@faemz26  Alhamdulillah, Kak Fairuz.  Hamco ikut senang nih kalau kendalanya Kakak sudah teratasi ya, Nantinya kalau ada pertanyaan lagi seputar IndiHome, jangan sungkan untuk menyampaikan kembali ya,...  https://t.co/txa8U9dBI9"
485,indirect complaint,abilonmyheart,Ini indihome emang lemot atau shopee deh… dari tadi pagi mau co barang gabisa😔
486,remark,anakuliahana,@bapaknyaaida Kl d tvn indihome ada subtitlenya?
487,direct complaint,tintinnya,Jadi gagal paham saya baca penjelasan teknis di bawah ini. Ini yg bermasalah IPLC nya @IndiHome apa AWS yg bermasalah ya kalau baca penjelasannya kek gini? Biar jelas Aja kalau memang linknya @AWSCloudSEAsia yg Down ya nanti tim AWS yg diajak ngobrol 🤔  https://t.co/X85loFp5sq
488,negative remark,pallllllllll_,Indihome ga jelas banget wallahi
489,none,urbluemint,"Indihome gue mohon kerja samanya, ini ustaznya serem plis jngn sampe gue alpha gara gara lo"
490,none,petcjuh,@thvqno Tanyakan pada anak indihome
491,own tweet,indihomecare,"@itsmechch Halo, Kak Mecha. Terima kasih atas apresiasinya ya, ikuti terus timeline kami untuk informasi menarik seputar produk dan layanan IndiHome lainnya dan  https://t.co/clewf0vZ91 Seamless merupakan layanan khusus bagi...  https://t.co/HudsmU5ZlF"
492,own tweet,indihomecare,"@frozenyogurette Siang, Kak Rere. Yoha bantu pengecekan yah Kak, informasikan dahulu nomor internet, atas nama pemilik, alamat, jumlah tagihan terakhir, relasi dengan pemilik IndiHome, nomor HP utama dan nomor HP...  https://t.co/l1UYSHlnja"
493,direct complaint,goodnessinside8,"@IndiHomeCare Tim @IndiHomeCare @TelkomIndonesia membaca pertanyaan sebelum menjawab tidak ? Jawaban template hasil COPY PASTE, tidak nyambung dengan pertanyaan kami! Pertanyaan kami : Hari, Tanggal dan Jam berapa Layanan Indihome bisa kami pergunakan kembali dengan normal ?"
494,none,marugemez,@ozzaoaja Dikiranya pelayan indihome bisa tau makanan siapanya wkwk
495,indirect complaint,71o98f,indihome lg kenapa yaa nangis bgt lemot😭😭😭
496,own tweet,indihomecare,"@Krapzze @IndiHome Halo, Kak Fadillah. Silfa cek laporannya di nomor tiket IN 13 28 26 21 8 saat ini sudah dilakukan perbaikan, dan sudah dibantu gantikan password WiFi-nya. Apakah saat ini sudah dapat terkoneksi dengan jaringannya, Kak? Ditunggu konfirmasinya kembali. Terima kasih. -Silfa"
497,inquiry,wanwijoged23,Siang min utk ganti nomer hp di pendaftaran indihome saya gmn iya ? Soal nya nomer yg lama sudah enggak di pakai lagi ?? @IndiHomeCare
498,campaign,agusnug1995,"ini ya, yang namanya rebung..baru tau.. 🤭, banyak ilmu yang didapat saat browsing YouTube pake IndiHome.  #InternetnyaIndonesia #AktivitasTanpaBatas  https://t.co/nahdOSJxA0"
499,campaign,deranniez,Habis istirahat makan siang saatnya kembali bekerja.. Harus semangat karena IndiHome yang selalu menemani disaat aku kerja internet jadi lancar membuat ide-ide baru semakin banyak jadi semakin semamgat kerjanya #InternetnyaIndonesia   #AktivitasTanpaBatas  https://t.co/nmZocqVLYf
500,campaign,tarou_ent,@indihomejkt Jwb : 36  1x1 = 1 2x2 = 4 Dan seterusnya sampe dapet 36 👍  Gaskaeun guys @holusche  @Sesihel   #QuizJempol  #IndiHome #AktifitasTanpaBatas
501,incomplete,riangsukacita,@indihomeborneo @IndiHome 🙌
502,campaign,agusnug1995,"Ada yang pernah makan gak??, Enak??  Jadi penasaran nih, dapet video gini waktu browsing YouTube pake IndiHome. #InternetnyaIndonesia  #AktivitasTanpaBatas  https://t.co/FfwHGyp9SV"
503,direct complaint,fangirl13071,"@IndiHomeCare mau pemutusan langanan/jaringan gimana nih prosedurnya min boleh dibantu, mau ganti provider aja saya indihome error mulu lama lagi benernya 😮‍💨 ditunggu informasi berhenti langganannya asap ya min thankyou!"
504,campaign,aliandosmg,#IndiHome #AktivitasTanpaBatas  https://t.co/EqotnNwQlW
505,negative remark,ahquagalon,indihome ngajak ke jahanam
506,remark,isthiewibowo,"Yah semalem ketiduran jadi gabisa nyelesein drakor. Padahal kemarin itu termasuk salah satu to do list, mumpung ini masih pagi nonton drakor dulu deh pake internet IndiHome sambil nyemil-nyemil cantik 🥰  https://t.co/9znWJjefmQ"
507,campaign,aliandosmg,#IndiHome #AktivitasTanpaBatas  https://t.co/ObRb5tsjOy
508,campaign,aliandosmg,#IndiHome #AktivitasTanpaBatas  https://t.co/vtZHVVUo29
509,campaign,aliandosmg,#IndiHome #AktivitasTanpaBatas  https://t.co/pFBCW9jt0f
510,direct complaint,fangirl13071,@IndiHomeCare gimana nih min masih gabisa nih dipake internetnya udah berkali kali restart ini saya mau kerja lih kalau saya yang diomelin/gajinya dipotong kalian mau tanggung jawab? Apa payment saya dibulan depan dapet potongan nih dari indihome🙂
511,campaign,tarou_ent,@IndiHomeJBN Sirkuit Mandalika punya 17 tikungan dengan rincian 6 tikungan ke kiri dan 11 ke kanan.  #AktivitasTanpaBatas #IndiHomeMbois  #IndiHome   @holusche @bekicrrot @temanbrengsek
512,remark,eundless,"Yang ngelah teams, yang disalahin tetep Indihome 😭"
513,none,eundless,Ngomongin Indihome jadi inget pas lagi rame-ramenya microsoft teams down
514,negative remark,eundless,Salah Indihome ini pasti 😾
515,campaign,aliandosmg,#IndiHome #AktivitasTanpaBatas  https://t.co/adZnz7MPZJ
516,direct complaint,geil_ang,"@IndiHomeCare halo kak . indihome saya belakangan ini lemot banget untuk browsing, tetapi untuk download speed normal. yang sudah saya lakukan adalah restart modem. tolong dicek kak kenapa dengan indihome saya. terimakasih"
517,direct complaint,j3001_,"@IndiHome min modem saya kenapa los nya merah terus ya? Padahal siang masih bisa dipake, tapi malemmya los nya udah merah sampe sekarang, lg ada perbaikan kah?"
518,direct complaint,frismelsi1,@IndiHomeOffici1 indihome di jakarta pusat sedang gangguan kah?
519,campaign,finaginting,"liga champion kembali digelar, pastikan nonton tim kesayanganmu hanya di indihome. #aktivitastanpabatas #internetnyaindonesia #indihome  https://t.co/ClIaxQbmQT"
